order_id,user_id,session_id,total_amount,discount_amount,delivery_fee,final_amount,delivery_days,payment_method,status,created_at
TL-ORD-2241C4450B,6184,sess_5938f3f42276447f,3008.00,0.00,0.00,3008.00,3,COD,CONFIRMED,2026-09-13T16:04:55.973128+00:00
TL-ORD-173252AC53,11079,sess_683aa746462f4c6b,2268.00,340.20,0.00,1927.80,3,Card,CONFIRMED,2026-09-13T15:37:00.555323+00:00
TL-ORD-D6D3A8671B,,sess_75440e3caad64099,2688.00,0.00,0.00,2688.00,2,NetBanking,CONFIRMED,2026-09-13T15:34:32.590652+00:00
TL-ORD-F377234F74,,sess_d58896d9dd0644b4,1971.00,0.00,0.00,1971.00,3,UPI,CONFIRMED,2026-09-13T15:12:54.214629+00:00
TL-ORD-BAAC2EA1A1,7820,sess_fb9edb13efbd4ac5,1018.00,152.70,0.00,865.30,5,COD,CONFIRMED,2026-09-13T15:09:46.286860+00:00
TL-ORD-D881E24B33,10583,sess_737b8e28745e40c2,1179.00,0.00,0.00,1179.00,2,Card,CONFIRMED,2026-09-13T15:04:21.799992+00:00
TL-ORD-B2344A819D,,sess_b12d79f22f38406f,642.00,96.30,99.00,644.70,5,COD,CONFIRMED,2026-09-13T14:59:59.233822+00:00
TL-ORD-E87766E2AC,9624,sess_4735bba8cf0b4775,3473.00,520.95,0.00,2952.05,3,COD,CONFIRMED,2026-09-13T14:57:12.210537+00:00
TL-ORD-D5E1978096,,sess_f3143bd773fc4e99,1604.00,0.00,0.00,1604.00,3,NetBanking,CONFIRMED,2026-09-13T14:45:46.730942+00:00
TL-ORD-CCF5DBA077,8515,sess_fb83337e6a094863,1882.00,0.00,0.00,1882.00,2,NetBanking,CONFIRMED,2026-09-13T14:43:05.634687+00:00
TL-ORD-53382034B5,7021,sess_394600bc1e904968,2450.00,0.00,0.00,2450.00,3,NetBanking,CONFIRMED,2026-09-13T14:38:40.504496+00:00
TL-ORD-0A13756648,11890,sess_e662f22321704370,5450.00,0.00,0.00,5450.00,2,NetBanking,CONFIRMED,2026-09-13T14:37:52.449931+00:00
TL-ORD-A48DEB28DF,10137,sess_f9cf6d15a4d94091,956.00,143.40,99.00,911.60,4,Card,CONFIRMED,2026-09-13T14:33:42.926094+00:00
TL-ORD-4920989930,6773,sess_859f66789a50445d,2936.00,0.00,0.00,2936.00,4,UPI,CONFIRMED,2026-09-13T14:18:31.672378+00:00
TL-ORD-74E51B3021,9168,sess_df084775b951455c,1668.00,0.00,0.00,1668.00,3,COD,CONFIRMED,2026-09-13T14:10:41.960618+00:00
TL-ORD-130D69EC42,11246,sess_b58b5a0fa9184496,5322.00,798.30,0.00,4523.70,4,COD,CONFIRMED,2026-09-13T13:23:03.282883+00:00
TL-ORD-2A0E5CA1C9,8033,sess_199bc4f7c0e649c5,3499.00,524.85,0.00,2974.15,2,UPI,CONFIRMED,2026-09-13T13:17:39.466220+00:00
TL-ORD-E5160CF77B,,sess_e872e42cd1314fb5,1882.00,282.30,0.00,1599.70,2,Card,CONFIRMED,2026-09-13T13:14:57.078593+00:00
TL-ORD-E8D571BDB4,11880,sess_10cbe628952d44d0,1844.00,0.00,0.00,1844.00,2,UPI,CONFIRMED,2026-09-13T13:05:53.895656+00:00
TL-ORD-2AB393354B,6209,sess_37f0fa97cd4d40bd,1018.00,152.70,0.00,865.30,5,NetBanking,CONFIRMED,2026-09-13T13:05:16.442023+00:00
TL-ORD-ED1FA656EC,8196,sess_2015b53fcbcc43b9,2799.00,419.85,0.00,2379.15,5,COD,CONFIRMED,2026-09-13T12:54:04.425668+00:00
TL-ORD-451B302642,9816,sess_db708fc6a469447b,1299.00,0.00,0.00,1299.00,3,UPI,CONFIRMED,2026-09-13T12:47:21.237714+00:00
TL-ORD-C5544339E7,10128,sess_e7b3cc0011334489,1322.00,198.30,0.00,1123.70,4,UPI,CONFIRMED,2026-09-13T12:34:32.196654+00:00
TL-ORD-AC8C7DAEDF,,sess_5fdfacef8c5c4110,1670.00,0.00,0.00,1670.00,2,UPI,CONFIRMED,2026-09-13T12:34:11.159727+00:00
TL-ORD-147B94F399,,sess_c3a17b8618294e73,3556.00,0.00,0.00,3556.00,2,UPI,CONFIRMED,2026-09-13T12:29:53.386129+00:00
TL-ORD-6D0872DE95,8106,sess_31c9b8190dd34727,1724.00,0.00,0.00,1724.00,4,UPI,CONFIRMED,2026-09-13T12:01:02.566603+00:00
TL-ORD-37DA006A70,7990,sess_66b8eacbc02b4c32,1875.00,281.25,0.00,1593.75,4,NetBanking,CONFIRMED,2026-09-13T11:59:49.114783+00:00
TL-ORD-10FBCFE6B3,7074,sess_dfc106ca98e14b34,1774.00,0.00,0.00,1774.00,2,NetBanking,CONFIRMED,2026-09-13T11:54:16.819135+00:00
TL-ORD-5A93EC81AA,7118,sess_3e22e78312464cec,4965.00,744.75,0.00,4220.25,4,Card,CONFIRMED,2026-09-13T11:28:07.131022+00:00
TL-ORD-9EFDF894C6,10126,sess_3a57b127a2394aed,3008.00,0.00,0.00,3008.00,3,UPI,CONFIRMED,2026-09-13T10:58:08.306211+00:00
TL-ORD-C4C34F692B,6833,sess_0677b90b70d94681,1270.00,0.00,0.00,1270.00,5,COD,CONFIRMED,2026-09-13T10:51:36.674446+00:00
TL-ORD-16D73D9E7A,11647,sess_9b7a876becba46c6,1179.00,0.00,0.00,1179.00,2,COD,CONFIRMED,2026-09-13T10:49:39.880307+00:00
TL-ORD-8BFFF473CD,6205,sess_e4b57fec0010406a,1500.00,225.00,0.00,1275.00,3,COD,CONFIRMED,2026-09-13T10:43:42.485666+00:00
TL-ORD-9D5A9CB3F2,11048,sess_41de211df109428f,2686.00,0.00,0.00,2686.00,4,COD,CONFIRMED,2026-09-13T10:36:58.378209+00:00
TL-ORD-F568FB0E9E,,sess_af698e93204c4b13,3316.00,0.00,0.00,3316.00,3,COD,CONFIRMED,2026-09-13T10:36:39.394323+00:00
TL-ORD-7A465B1DF5,11412,sess_0c7b094166ea4de8,3879.00,0.00,0.00,3879.00,5,NetBanking,CONFIRMED,2026-09-13T10:25:12.062178+00:00
TL-ORD-6902CF9B72,9509,sess_42249373b1674693,5450.00,817.50,0.00,4632.50,3,Card,CONFIRMED,2026-09-13T10:06:00.690647+00:00
TL-ORD-378FA1BC58,10369,sess_6937837048214306,4869.00,730.35,0.00,4138.65,3,Card,CONFIRMED,2026-09-13T10:02:46.614750+00:00
TL-ORD-736600C322,6227,sess_9a16b49154d74ff7,3899.00,0.00,0.00,3899.00,2,COD,CONFIRMED,2026-09-13T10:02:40.829890+00:00
TL-ORD-12070D5DB5,8031,sess_7d2358c4334346dc,852.00,127.80,99.00,823.20,2,Card,CONFIRMED,2026-09-13T09:57:26.527145+00:00
TL-ORD-BD426D2323,7648,sess_68b6db176b144c74,2279.00,0.00,0.00,2279.00,4,UPI,CONFIRMED,2026-09-13T09:56:09.227352+00:00
TL-ORD-289EF0445A,8571,sess_7cf9bd00755d48d3,2799.00,419.85,0.00,2379.15,2,UPI,CONFIRMED,2026-09-13T09:53:05.901153+00:00
TL-ORD-B53D4E40D6,,sess_44861fac73ed4903,2686.00,0.00,0.00,2686.00,4,Card,CONFIRMED,2026-09-13T09:33:49.366121+00:00
TL-ORD-CB61B82024,6799,sess_b57cc8d3d2d24881,1199.00,0.00,0.00,1199.00,2,NetBanking,CONFIRMED,2026-09-13T09:20:54.061483+00:00
TL-ORD-9570C9BC25,,sess_1ea6c33a8f824c1a,1844.00,276.60,0.00,1567.40,2,Card,CONFIRMED,2026-09-13T09:04:57.635500+00:00
TL-ORD-D2D6F5E469,7709,sess_12a38f2c9f7b40a3,1882.00,282.30,0.00,1599.70,2,Card,CONFIRMED,2026-09-13T08:44:51.688223+00:00
TL-ORD-DA9A91A7BE,7317,sess_cbe16878d0984324,2279.00,0.00,0.00,2279.00,2,UPI,CONFIRMED,2026-09-13T08:39:54.634212+00:00
TL-ORD-60A9BA4334,6722,sess_eb8c4bc1f08e4153,2631.00,0.00,0.00,2631.00,2,NetBanking,CONFIRMED,2026-09-13T08:37:00.467396+00:00
TL-ORD-BD930E83C6,,sess_3b4c536d3456493d,2499.00,0.00,0.00,2499.00,3,UPI,CONFIRMED,2026-09-13T08:30:11.146436+00:00
TL-ORD-567E211EA9,9151,sess_6c63dea04b224acf,984.00,147.60,99.00,935.40,5,NetBanking,CONFIRMED,2026-09-13T08:28:33.156236+00:00
TL-ORD-2D4396F491,10680,sess_bc152b1d65164eb1,1089.00,163.35,0.00,925.65,3,NetBanking,CONFIRMED,2026-09-13T07:40:53.058959+00:00
TL-ORD-BEAFD1E156,7175,sess_ba91373332cb4b95,1954.00,0.00,0.00,1954.00,6,NetBanking,CONFIRMED,2026-09-13T07:39:31.003844+00:00
TL-ORD-0C74937638,,sess_f8e08048f7d24890,3531.00,529.65,0.00,3001.35,3,UPI,CONFIRMED,2026-09-13T07:27:39.924424+00:00
TL-ORD-183285D480,10835,sess_a641b0259f08478c,2640.00,396.00,0.00,2244.00,3,NetBanking,CONFIRMED,2026-09-13T07:20:43.394998+00:00
TL-ORD-30B951114F,6158,sess_3bd0bfb5574248f1,859.00,0.00,99.00,958.00,2,Card,CONFIRMED,2026-09-13T07:12:10.117137+00:00
TL-ORD-A88B3C86F3,6696,sess_f03683fb12594b56,1802.00,270.30,0.00,1531.70,3,COD,CONFIRMED,2026-09-13T07:11:23.396896+00:00
TL-ORD-40533B5051,8743,sess_f1664a2595f5492c,4132.00,0.00,0.00,4132.00,2,Card,CONFIRMED,2026-09-13T06:50:26.923580+00:00
TL-ORD-2E23487498,7743,sess_b3f2c96443ef485b,1210.00,0.00,0.00,1210.00,2,UPI,CONFIRMED,2026-09-13T06:50:09.790598+00:00
TL-ORD-5174A47FD6,8408,sess_062167de6e854c5c,1251.00,0.00,0.00,1251.00,3,COD,CONFIRMED,2026-09-13T06:36:00.016774+00:00
TL-ORD-EC86B0D900,6912,sess_0c0691e4966c49da,4168.00,0.00,0.00,4168.00,3,COD,CONFIRMED,2026-09-13T06:05:23.967734+00:00
TL-ORD-6367E912E2,6524,sess_882c6304c273409a,3143.00,471.45,0.00,2671.55,2,COD,CONFIRMED,2026-09-13T05:48:01.879147+00:00
TL-ORD-FFCCBBF511,,sess_0163b9103a604cc1,3499.00,0.00,0.00,3499.00,3,UPI,CONFIRMED,2026-09-13T05:40:40.194727+00:00
TL-ORD-E9DB2745F9,8917,sess_86183c670ef74e4d,4958.00,0.00,0.00,4958.00,3,UPI,CONFIRMED,2026-09-13T05:40:30.716383+00:00
TL-ORD-25F440FB8C,,sess_59cce8f318dc4f8a,3421.00,0.00,0.00,3421.00,6,COD,CONFIRMED,2026-09-13T05:39:17.777077+00:00
TL-ORD-6078D411C5,11558,sess_23283bc816f94e02,1018.00,0.00,0.00,1018.00,5,NetBanking,CONFIRMED,2026-09-13T05:37:18.766622+00:00
TL-ORD-7B74147725,9025,sess_92b98ffce3e44bdb,5842.00,0.00,0.00,5842.00,2,COD,CONFIRMED,2026-09-13T05:32:05.983483+00:00
TL-ORD-FEC2257A9F,,sess_2d8d822c5e63459b,1103.00,0.00,0.00,1103.00,5,NetBanking,CONFIRMED,2026-09-13T05:27:15.233484+00:00
TL-ORD-2B349779C9,10892,sess_f4faab4b1b2a4cd1,2195.00,0.00,0.00,2195.00,4,UPI,CONFIRMED,2026-09-13T05:10:50.876760+00:00
TL-ORD-8259841E68,,sess_8ea0184da1474ccc,2116.00,0.00,0.00,2116.00,2,UPI,CONFIRMED,2026-09-13T04:37:37.124297+00:00
TL-ORD-B7CA505D91,,sess_11b3301cf4264cb0,2199.00,329.85,0.00,1869.15,4,NetBanking,CONFIRMED,2026-09-13T04:33:53.549903+00:00
TL-ORD-7387CE3F55,8367,sess_0a068b59029a4e26,4723.00,0.00,0.00,4723.00,4,NetBanking,CONFIRMED,2026-09-13T04:18:11.698278+00:00
TL-ORD-402BE8DAF1,9551,sess_0fd680cf82474ded,1506.00,225.90,0.00,1280.10,3,NetBanking,CONFIRMED,2026-09-13T04:11:33.671850+00:00
TL-ORD-0E2701C807,10320,sess_9aa635ba7a834d71,1557.00,233.55,0.00,1323.45,4,NetBanking,CONFIRMED,2026-09-13T03:17:32.299704+00:00
TL-ORD-3618CF85C0,9264,sess_f1efe953ba7648da,6594.00,0.00,0.00,6594.00,3,COD,CONFIRMED,2026-09-13T03:09:32.923977+00:00
TL-ORD-72465A2A04,,sess_4141218c25cf479e,829.00,124.35,99.00,803.65,6,UPI,CONFIRMED,2026-09-13T03:07:14.830539+00:00
TL-ORD-A92D080E73,,sess_24150bfe44864382,1829.00,274.35,0.00,1554.65,2,UPI,CONFIRMED,2026-09-13T03:02:09.629767+00:00
TL-ORD-4557ACD083,,sess_fc31cc4acf084422,5596.00,0.00,0.00,5596.00,2,Card,CONFIRMED,2026-09-13T02:58:30.900097+00:00
TL-ORD-16D95F5C0C,9511,sess_66ba1dd82ead492f,2036.00,0.00,0.00,2036.00,2,NetBanking,CONFIRMED,2026-09-13T02:10:43.814719+00:00
TL-ORD-03A462B9B9,6783,sess_f11790867c074f2a,3090.00,0.00,0.00,3090.00,2,COD,CONFIRMED,2026-09-13T02:08:56.710178+00:00
TL-ORD-6E21BE85A4,7833,sess_78225ef89d894717,2206.00,330.90,0.00,1875.10,3,Card,CONFIRMED,2026-09-13T02:07:38.426654+00:00
TL-ORD-217F17AFE2,11003,sess_c65a188fe1b5484b,4897.00,734.55,0.00,4162.45,3,COD,CONFIRMED,2026-09-13T02:01:56.512485+00:00
TL-ORD-7485A3CF1A,,sess_12aaeabfbc5d4160,3748.00,562.20,0.00,3185.80,2,COD,CONFIRMED,2026-09-13T01:51:55.236162+00:00
TL-ORD-392ED5F963,,sess_fd94c785a4384669,2617.00,0.00,0.00,2617.00,4,UPI,CONFIRMED,2026-09-13T01:51:11.908284+00:00
TL-ORD-4292D63E84,7068,sess_5e1f56baf6c74ed1,3670.00,550.50,0.00,3119.50,3,Card,CONFIRMED,2026-09-13T01:40:36.250189+00:00
TL-ORD-0CD1867FE5,8250,sess_21f050d282e44788,3777.00,0.00,0.00,3777.00,4,Card,CONFIRMED,2026-09-13T01:24:04.927229+00:00
TL-ORD-56940C539A,,sess_d1126e496ca644d7,2538.00,0.00,0.00,2538.00,2,UPI,CONFIRMED,2026-09-13T01:02:42.369839+00:00
TL-ORD-D357A34AE4,7580,sess_c5492c10a1104b18,1733.00,0.00,0.00,1733.00,3,Card,CONFIRMED,2026-09-13T00:58:53.552065+00:00
TL-ORD-8662E483BA,9663,sess_f96c89c3ccea48ad,2238.00,335.70,0.00,1902.30,3,UPI,CONFIRMED,2026-09-13T00:35:24.156030+00:00
TL-ORD-A1E5350E72,11885,sess_4bf8b62947c94b61,852.00,127.80,99.00,823.20,2,UPI,CONFIRMED,2026-09-13T00:23:14.781620+00:00
TL-ORD-94AC569119,,sess_c513e160c35f4af5,2686.00,0.00,0.00,2686.00,4,NetBanking,CONFIRMED,2026-09-13T00:18:11.685607+00:00
TL-ORD-FA46A28AB1,6381,sess_778f104412bb41fe,3041.00,456.15,0.00,2584.85,4,NetBanking,CONFIRMED,2026-09-13T00:09:42.057054+00:00
TL-ORD-0D9F7E08EC,10773,sess_582f810ee559419a,1567.00,235.05,0.00,1331.95,3,Card,CONFIRMED,2026-09-12T23:58:25.491850+00:00
TL-ORD-853B67E0E7,6131,sess_9d50957d3f994b30,4237.00,635.55,0.00,3601.45,4,UPI,CONFIRMED,2026-09-12T23:49:41.867542+00:00
TL-ORD-DB2B4CC3FB,,sess_d219ad7c6c974b65,3499.00,0.00,0.00,3499.00,2,NetBanking,CONFIRMED,2026-09-12T23:17:29.351286+00:00
TL-ORD-9840C58791,6126,sess_38c96c622c16441d,1875.00,0.00,0.00,1875.00,4,NetBanking,CONFIRMED,2026-09-12T23:10:58.802717+00:00
TL-ORD-FF92B93D92,11430,sess_72aa1e609b1f49e7,1533.00,229.95,0.00,1303.05,2,UPI,CONFIRMED,2026-09-12T23:00:12.918966+00:00
TL-ORD-403D4B6AA6,7802,sess_57c63899ef204df1,1263.00,189.45,0.00,1073.55,5,UPI,CONFIRMED,2026-09-12T22:43:46.475198+00:00
TL-ORD-270E343AE6,,sess_9e8a97a149214df2,2769.00,0.00,0.00,2769.00,2,UPI,CONFIRMED,2026-09-12T22:40:54.990634+00:00
TL-ORD-A091C8FBDA,,sess_b0cf72556cdc484e,5499.00,824.85,0.00,4674.15,3,Card,CONFIRMED,2026-09-12T22:17:17.227836+00:00
TL-ORD-5595C3DCC5,,sess_d5f728be561a4d79,2773.00,415.95,0.00,2357.05,2,Card,CONFIRMED,2026-09-12T22:12:46.899916+00:00
TL-ORD-F6876CB5D4,7855,sess_b214e2a129944beb,1557.00,0.00,0.00,1557.00,4,COD,CONFIRMED,2026-09-12T22:11:04.437473+00:00
TL-ORD-5D67C02852,6553,sess_12fa4a5dd31e453e,4645.00,0.00,0.00,4645.00,2,Card,CONFIRMED,2026-09-12T22:06:59.089864+00:00
TL-ORD-57D3B3051C,6051,sess_5b070ea8cac04d96,1270.00,0.00,0.00,1270.00,5,Card,CONFIRMED,2026-09-12T21:50:10.847915+00:00
TL-ORD-6B533E5684,,sess_9eb9e1a923d84635,5499.00,0.00,0.00,5499.00,3,Card,CONFIRMED,2026-09-12T21:49:57.185058+00:00
TL-ORD-79983BEBB9,8011,sess_3303e28a0c454005,3481.00,522.15,0.00,2958.85,5,COD,CONFIRMED,2026-09-12T21:36:21.185777+00:00
TL-ORD-2A74EF8563,10716,sess_3061362f97874a7a,1276.00,0.00,0.00,1276.00,5,Card,CONFIRMED,2026-09-12T21:23:26.633098+00:00
TL-ORD-A1278EC7A3,10206,sess_dfce45eedd5a44d5,1322.00,0.00,0.00,1322.00,4,UPI,CONFIRMED,2026-09-12T21:18:50.432838+00:00
TL-ORD-75811E05F9,9871,sess_2f44a030b35a45c0,642.00,0.00,99.00,741.00,5,Card,CONFIRMED,2026-09-12T20:57:47.482405+00:00
TL-ORD-6C158740C2,9324,sess_8a1090c103dd461f,3621.00,0.00,0.00,3621.00,3,NetBanking,CONFIRMED,2026-09-12T20:53:00.615433+00:00
TL-ORD-B21B142179,8518,sess_a192843334d44151,4723.00,708.45,0.00,4014.55,4,Card,CONFIRMED,2026-09-12T20:44:53.334100+00:00
TL-ORD-E20A329BED,,sess_a41ea55357704483,1774.00,0.00,0.00,1774.00,2,COD,CONFIRMED,2026-09-12T20:36:43.663096+00:00
TL-ORD-025CF0F9A7,,sess_e041718c6917450c,5509.00,826.35,0.00,4682.65,5,UPI,CONFIRMED,2026-09-12T20:22:12.264243+00:00
TL-ORD-A2EEA28BF4,,sess_46ec4679785044b5,1928.00,0.00,0.00,1928.00,2,COD,CONFIRMED,2026-09-12T20:20:15.059339+00:00
TL-ORD-BE51331973,7056,sess_428691753781410e,2388.00,358.20,0.00,2029.80,4,Card,CONFIRMED,2026-09-12T19:20:37.471198+00:00
TL-ORD-AF9FC15EE0,8173,sess_b79e5ecaac014450,751.00,0.00,99.00,850.00,4,COD,CONFIRMED,2026-09-12T19:17:04.826219+00:00
TL-ORD-8A7924E971,11786,sess_d904144c0377423e,1506.00,225.90,0.00,1280.10,3,Card,CONFIRMED,2026-09-12T19:13:48.801216+00:00
TL-ORD-0BF604843C,7580,sess_7ede5d289c0e4c84,3985.00,597.75,0.00,3387.25,3,Card,CONFIRMED,2026-09-12T18:40:31.049396+00:00
TL-ORD-95DDDE99F3,,sess_1b77fc8f24e4436e,2589.00,0.00,0.00,2589.00,2,UPI,CONFIRMED,2026-09-12T18:33:18.874905+00:00
TL-ORD-72EDE7CBE0,6144,sess_db844ee7bcd9488d,1875.00,281.25,0.00,1593.75,4,Card,CONFIRMED,2026-09-12T18:31:26.114810+00:00
TL-ORD-FD44C0BFEA,8483,sess_c28291241b1e4984,3471.00,0.00,0.00,3471.00,3,NetBanking,CONFIRMED,2026-09-12T18:31:20.212424+00:00
TL-ORD-FE4EC37D5C,11060,sess_ce2b5e98dee042f8,2617.00,0.00,0.00,2617.00,4,COD,CONFIRMED,2026-09-12T18:29:47.468952+00:00
TL-ORD-6ED120A3A0,8227,sess_38cee43533994562,2799.00,0.00,0.00,2799.00,2,Card,CONFIRMED,2026-09-12T18:14:19.341940+00:00
TL-ORD-8C9AF87BFB,6265,sess_798ed25ebd334cc3,2339.00,0.00,0.00,2339.00,2,Card,CONFIRMED,2026-09-12T18:09:39.079296+00:00
TL-ORD-9526195C71,,sess_0f3b5b9fb2f94941,2339.00,0.00,0.00,2339.00,2,Card,CONFIRMED,2026-09-12T18:05:10.440267+00:00
TL-ORD-2B131B0C07,,sess_ed02daa7500b47d7,1500.00,225.00,0.00,1275.00,3,NetBanking,CONFIRMED,2026-09-12T17:57:57.920823+00:00
TL-ORD-FF5F34A72F,,sess_75504c3261a44fba,4645.00,0.00,0.00,4645.00,2,COD,CONFIRMED,2026-09-12T17:27:09.017967+00:00
TL-ORD-D97E85B02E,,sess_cbc4aa8e16394fce,3499.00,0.00,0.00,3499.00,3,UPI,CONFIRMED,2026-09-12T16:55:27.374056+00:00
TL-ORD-23383DD1CB,9611,sess_42b4913210e5484c,642.00,96.30,99.00,644.70,5,Card,CONFIRMED,2026-09-12T16:48:07.810304+00:00
TL-ORD-319BF27403,9275,sess_5a8d807410c04048,6999.00,1049.85,0.00,5949.15,2,COD,CONFIRMED,2026-09-12T16:45:09.949669+00:00
TL-ORD-E4CDC83BF1,7969,sess_004a1e1ec3c9439a,4079.00,0.00,0.00,4079.00,2,NetBanking,CONFIRMED,2026-09-12T16:36:00.624422+00:00
TL-ORD-E0EE85848E,8299,sess_fb8f7a6143d248f4,5499.00,824.85,0.00,4674.15,3,COD,CONFIRMED,2026-09-12T16:34:27.823546+00:00
TL-ORD-3DDD50339A,10473,sess_78f8d4cc293a43f2,4723.00,0.00,0.00,4723.00,4,Card,CONFIRMED,2026-09-12T16:24:42.111397+00:00
TL-ORD-97120B4EEA,11990,sess_4bbc47d415a14b83,5184.00,0.00,0.00,5184.00,6,NetBanking,CONFIRMED,2026-09-12T16:23:49.658394+00:00
TL-ORD-B13F45F398,11399,sess_f8322234944c4c70,3499.00,524.85,0.00,2974.15,3,UPI,CONFIRMED,2026-09-12T16:21:43.703983+00:00
TL-ORD-5567DF280A,,sess_00d22b2ae74044e1,1308.00,0.00,0.00,1308.00,3,UPI,CONFIRMED,2026-09-12T15:59:00.855741+00:00
TL-ORD-58F12A5181,,sess_636fad60060648e6,2550.00,382.50,0.00,2167.50,2,Card,CONFIRMED,2026-09-12T15:38:45.546892+00:00
TL-ORD-3387CBEB17,,sess_f8165cc6f83c420b,1728.00,0.00,0.00,1728.00,2,Card,CONFIRMED,2026-09-12T15:38:27.222529+00:00
TL-ORD-FE322C2058,8026,sess_b85ef5b8c5cc4ed8,2640.00,396.00,0.00,2244.00,3,COD,CONFIRMED,2026-09-12T15:35:07.470996+00:00
TL-ORD-55B7442686,,sess_fbeed484e9634171,3019.00,0.00,0.00,3019.00,2,Card,CONFIRMED,2026-09-12T15:25:05.646165+00:00
TL-ORD-A9F55D1915,8031,sess_5a380d36fc6946d3,3556.00,0.00,0.00,3556.00,2,COD,CONFIRMED,2026-09-12T15:12:46.543258+00:00
TL-ORD-37EC0F4448,,sess_682719403ef94e46,1339.00,0.00,0.00,1339.00,3,NetBanking,CONFIRMED,2026-09-12T15:08:11.975798+00:00
TL-ORD-6B5144CEB3,9903,sess_108799c4136e412a,2435.00,0.00,0.00,2435.00,2,Card,CONFIRMED,2026-09-12T15:05:23.636381+00:00
TL-ORD-9800B4F093,7826,sess_e429ad2370814485,2464.00,0.00,0.00,2464.00,3,COD,CONFIRMED,2026-09-12T15:02:04.571061+00:00
