order_id,user_id,session_id,total_amount,discount_amount,delivery_fee,final_amount,delivery_days,payment_method,status,shipping_city,shipping_pincode,created_at,order_date
TL-ORD-E72DCA4D3F,,sess_23f1a4196a3340d9,1914,287.1,0,1626.9,3,UPI,CONFIRMED,Delhi NCR,508890,2026-08-17 12:55:52.762952,2026-08-17
TL-ORD-9891E12A27,9338.0,sess_d0fdf71da16b4c45,1170,0.0,0,1170.0,5,COD,CONFIRMED,Pune,599431,2026-08-26 00:01:34.124439,2026-08-26
TL-ORD-E69F0F86D4,6721.0,sess_893b69c2d22e4dcc,3775,566.25,0,3208.75,5,NetBanking,CONFIRMED,Mumbai,439115,2026-08-15 22:37:11.780828,2026-08-15
TL-ORD-723EB20603,8996.0,sess_04c8198a6ea549f7,3152,472.8,0,2679.2,2,Card,CONFIRMED,Bengaluru,325821,2026-08-25 05:27:04.804680,2026-08-25
TL-ORD-0E398484ED,6074.0,sess_b57aa58c262840d4,4992,748.8,0,4243.2,2,NetBanking,CONFIRMED,Chennai,456005,2026-08-27 13:38:45.716316,2026-08-27
TL-ORD-5B35C4FDE0,7340.0,sess_1177be8793e44e54,3316,0.0,0,3316.0,3,NetBanking,CONFIRMED,Bengaluru,178708,2026-08-27 23:01:01.308011,2026-08-27
TL-ORD-46037F8A1D,8138.0,sess_f9cc5ef2d14c4609,3294,0.0,0,3294.0,4,COD,CONFIRMED,Bengaluru,378949,2026-08-24 22:45:59.500750,2026-08-24
TL-ORD-191EBDABAC,,sess_02ddd914a9b44d08,4499,674.85,0,3824.15,2,UPI,CONFIRMED,Pune,325762,2026-09-08 21:17:26.424691,2026-09-08
TL-ORD-CB3F530AF2,,sess_35c9289400b04a45,1308,196.2,0,1111.8,3,COD,CONFIRMED,Hyderabad,614367,2026-08-22 13:14:05.951092,2026-08-22
TL-ORD-596207E358,,sess_1b1e9886979a485f,1899,0.0,0,1899.0,4,UPI,CONFIRMED,Pune,182689,2026-09-03 13:43:49.940400,2026-09-03
TL-ORD-EF60D17825,11832.0,sess_db759c9aa0094032,1107,0.0,0,1107.0,4,Card,CONFIRMED,Hyderabad,540054,2026-08-20 01:40:03.006056,2026-08-20
TL-ORD-0658C4C79F,10460.0,sess_da38737c749d4508,1684,252.6,0,1431.4,2,NetBanking,CONFIRMED,Delhi NCR,211709,2026-08-18 18:25:02.510489,2026-08-18
TL-ORD-8F272D1E22,8610.0,sess_af66c91617654115,2792,0.0,0,2792.0,2,COD,CONFIRMED,Bengaluru,245468,2026-09-05 12:04:11.938927,2026-09-05
TL-ORD-6EEE294D12,6089.0,sess_5ea9b48aabc740f0,3024,0.0,0,3024.0,5,COD,CONFIRMED,Pune,282708,2026-09-07 20:19:00.528840,2026-09-07
TL-ORD-1E6A5C1BE5,,sess_56552bf01cee4ff5,4817,0.0,0,4817.0,2,UPI,CONFIRMED,Mumbai,522573,2026-08-19 09:18:00.653817,2026-08-19
TL-ORD-6D5AE1B406,10230.0,sess_63f05f4841814b38,2673,0.0,0,2673.0,2,Card,CONFIRMED,Bengaluru,386082,2026-09-05 10:14:52.094618,2026-09-05
TL-ORD-814549B366,,sess_70dbf99722a24c16,3537,530.55,0,3006.45,3,Card,CONFIRMED,Chennai,300675,2026-09-06 15:09:13.119714,2026-09-06
TL-ORD-A7AB288FA3,10444.0,sess_5bd1e09b3e744b9d,2312,346.8,0,1965.2,5,UPI,CONFIRMED,Hyderabad,167840,2026-08-30 22:21:06.002520,2026-08-30
TL-ORD-89DB1A0A69,,sess_fef5356d2dfa4b20,7008,0.0,0,7008.0,3,NetBanking,CONFIRMED,Bengaluru,292254,2026-09-10 17:51:29.082447,2026-09-10
TL-ORD-C34A29A983,10038.0,sess_e1b8cdf36bd24904,1728,0.0,0,1728.0,2,Card,CONFIRMED,Pune,141880,2026-08-25 04:55:03.761681,2026-08-25
TL-ORD-468B8011B1,8695.0,sess_88569ccd703c4556,3019,0.0,0,3019.0,2,UPI,CONFIRMED,Mumbai,674632,2026-08-26 13:26:47.760343,2026-08-26
TL-ORD-27D9DFEC43,7569.0,sess_e049e9125cb84f8f,3857,0.0,0,3857.0,5,COD,CONFIRMED,Mumbai,580733,2026-09-11 05:28:43.555919,2026-09-11
TL-ORD-922AAA531C,6199.0,sess_0cbc97043ae447be,3556,533.4,0,3022.6,2,UPI,CONFIRMED,Chennai,202545,2026-09-05 10:19:43.276772,2026-09-05
TL-ORD-6ECCCB5B2C,,sess_eaa8a77efd2241a3,1617,242.55,0,1374.45,3,Card,CONFIRMED,Mumbai,284559,2026-09-01 19:03:27.079515,2026-09-01
TL-ORD-7605EDD37E,11918.0,sess_3463010b021a4482,3367,0.0,0,3367.0,3,COD,CONFIRMED,Chennai,565563,2026-08-27 07:52:49.395419,2026-08-27
TL-ORD-1EFA20BD31,7258.0,sess_976ac2ddad7341fd,4180,627.0,0,3553.0,3,NetBanking,CONFIRMED,Mumbai,582044,2026-09-01 17:35:59.584681,2026-09-01
TL-ORD-819280F682,,sess_3078233780c745bd,2799,0.0,0,2799.0,2,Card,CONFIRMED,Mumbai,263498,2026-09-08 01:58:20.889756,2026-09-08
TL-ORD-91D770137C,11936.0,sess_4ca85f4950a841de,4869,730.35,0,4138.65,3,UPI,CONFIRMED,Hyderabad,434950,2026-08-16 14:23:54.431001,2026-08-16
TL-ORD-ACC19241F4,6445.0,sess_c43ab02d0efa4a09,2435,0.0,0,2435.0,2,COD,CONFIRMED,Chennai,487408,2026-09-11 16:01:53.576888,2026-09-11
TL-ORD-AF65B51715,,sess_82b0ae2ccb6d4e89,3577,0.0,0,3577.0,2,COD,CONFIRMED,Mumbai,252177,2026-09-03 17:49:51.998161,2026-09-03
TL-ORD-FFC0902A74,11664.0,sess_80e7f8ea27404b39,1061,0.0,0,1061.0,3,NetBanking,CONFIRMED,Mumbai,485013,2026-08-23 04:08:25.935853,2026-08-23
TL-ORD-8B01D24854,8116.0,sess_39e8a0bf6fd144ab,4723,0.0,0,4723.0,4,Card,CONFIRMED,Pune,463892,2026-08-23 14:07:22.515988,2026-08-23
TL-ORD-937D7E38C8,,sess_42d30c0794ce441e,3041,0.0,0,3041.0,4,NetBanking,CONFIRMED,Pune,358278,2026-08-19 20:35:20.731788,2026-08-19
TL-ORD-2BACC34B53,,sess_727acd30918e459e,2799,0.0,0,2799.0,2,UPI,CONFIRMED,Mumbai,410010,2026-08-24 08:11:51.918295,2026-08-24
TL-ORD-C2C350C00D,9163.0,sess_dbeff601f6a2472b,4992,0.0,0,4992.0,2,NetBanking,CONFIRMED,Bengaluru,484521,2026-09-04 21:39:15.090738,2026-09-04
TL-ORD-2AEC7D776A,8217.0,sess_d1f2076d53204b5d,4723,708.45,0,4014.55,4,UPI,CONFIRMED,Hyderabad,429147,2026-08-17 11:46:44.490410,2026-08-17
TL-ORD-96D3ECFCEC,,sess_6b4f06060a0d46be,1061,0.0,0,1061.0,3,Card,CONFIRMED,Delhi NCR,478196,2026-09-02 04:35:58.423497,2026-09-02
TL-ORD-D58373A6FF,10005.0,sess_ec6968c90684469a,1899,0.0,0,1899.0,2,UPI,CONFIRMED,Bengaluru,481180,2026-09-08 01:59:54.806545,2026-09-08
TL-ORD-549704C4BF,11016.0,sess_7f539b6a5441438a,1040,156.0,0,884.0,2,COD,CONFIRMED,Delhi NCR,320325,2026-08-25 05:15:30.423709,2026-08-25
TL-ORD-010D557593,,sess_1a24c2dafa454e02,4999,0.0,0,4999.0,3,COD,CONFIRMED,Chennai,326863,2026-08-25 20:31:54.491481,2026-08-25
TL-ORD-9B37697B5D,,sess_aa33a4771e974ec0,2403,360.45,0,2042.55,2,Card,CONFIRMED,Mumbai,222526,2026-08-17 10:02:07.069539,2026-08-17
TL-ORD-1294DAB732,10043.0,sess_a734bab4b81b4f00,3233,0.0,0,3233.0,3,Card,CONFIRMED,Delhi NCR,200871,2026-08-25 12:08:21.452805,2026-08-25
TL-ORD-0999EC3BC9,10247.0,sess_001dbb60c6cd4930,6489,0.0,0,6489.0,2,UPI,CONFIRMED,Bengaluru,360188,2026-09-10 07:42:42.893380,2026-09-10
TL-ORD-7693B3E0B0,11443.0,sess_259e3065ff3b4610,3316,497.4,0,2818.6,3,COD,CONFIRMED,Hyderabad,640499,2026-09-03 21:01:46.971545,2026-09-03
TL-ORD-2633813DFA,,sess_60201bcbc22b4d89,4645,696.75,0,3948.25,2,COD,CONFIRMED,Chennai,580182,2026-09-07 10:52:49.061457,2026-09-07
TL-ORD-52C0B9AA13,10948.0,sess_a40bd5bda4fe40b3,1564,234.6,0,1329.4,2,NetBanking,CONFIRMED,Pune,332515,2026-08-30 00:43:06.371989,2026-08-30
TL-ORD-4E7F52FF04,9637.0,sess_21d6da7cb2484f4c,1906,285.9,0,1620.1,3,NetBanking,CONFIRMED,Bengaluru,171873,2026-08-16 20:49:53.879630,2026-08-16
TL-ORD-0AF73673E0,8628.0,sess_8a5cae4fd558428d,4617,692.55,0,3924.45,2,NetBanking,CONFIRMED,Chennai,200123,2026-08-24 17:39:26.713533,2026-08-24
TL-ORD-4C7964B775,7792.0,sess_3dfa1dc273194abe,1971,295.65,0,1675.35,3,NetBanking,CONFIRMED,Chennai,679427,2026-09-11 21:59:18.417697,2026-09-11
TL-ORD-C9DA827CAA,10286.0,sess_d0b9edb0c8e140e3,3670,0.0,0,3670.0,3,Card,CONFIRMED,Delhi NCR,494235,2026-08-24 06:09:07.865738,2026-08-24
TL-ORD-C5D403B192,6768.0,sess_6e69ebe547bc4fd7,5596,0.0,0,5596.0,2,NetBanking,CONFIRMED,Chennai,568024,2026-09-07 08:34:03.484387,2026-09-07
TL-ORD-E1809AFF47,,sess_da2e30029f4e4f9f,5450,0.0,0,5450.0,2,UPI,CONFIRMED,Bengaluru,304605,2026-09-03 09:10:32.176699,2026-09-03
TL-ORD-294A53F3F2,11830.0,sess_dfe29a03106946c1,1299,194.85,0,1104.15,3,UPI,CONFIRMED,Chennai,538695,2026-09-13 19:08:22.424455,2026-09-13
TL-ORD-40F38538CE,11427.0,sess_67f16fdf63864d19,2637,395.55,0,2241.45,3,COD,CONFIRMED,Hyderabad,116755,2026-08-31 19:43:57.769255,2026-08-31
TL-ORD-33AFA31A55,9080.0,sess_822d50b746c34846,1557,0.0,0,1557.0,4,COD,CONFIRMED,Delhi NCR,422467,2026-09-10 00:07:58.539479,2026-09-10
TL-ORD-331E728A2E,9168.0,sess_7d1cfd62d9c84063,2438,365.7,0,2072.3,3,COD,CONFIRMED,Delhi NCR,448185,2026-08-25 16:33:16.692935,2026-08-25
TL-ORD-EE5AB09B34,11659.0,sess_bcd4fa82524c40bd,4958,0.0,0,4958.0,3,NetBanking,CONFIRMED,Delhi NCR,245502,2026-09-07 12:46:49.267393,2026-09-07
TL-ORD-507EA7827F,11743.0,sess_fe8abd2743b3473a,3777,0.0,0,3777.0,4,Card,CONFIRMED,Pune,369832,2026-08-18 00:40:01.784390,2026-08-18
TL-ORD-BCDFC69237,7628.0,sess_1732b47456354648,2936,440.4,0,2495.6,4,NetBanking,CONFIRMED,Hyderabad,188068,2026-08-25 02:20:10.012033,2026-08-25
TL-ORD-A8FC369C19,8167.0,sess_5cc3ecf32d484caf,642,0.0,99,741.0,5,UPI,CONFIRMED,Mumbai,333306,2026-08-20 22:38:38.552002,2026-08-20
TL-ORD-E239E3A9DE,8827.0,sess_bf944b70cd424f22,2662,399.3,0,2262.7,2,Card,CONFIRMED,Delhi NCR,583010,2026-09-07 15:38:29.482549,2026-09-07
TL-ORD-D300C98CFE,10293.0,sess_7c47ab7b498e4d5f,4320,648.0,0,3672.0,4,UPI,CONFIRMED,Pune,527532,2026-09-08 00:44:23.009429,2026-09-08
TL-ORD-B6F79F9039,,sess_0160e7c7b2714aa0,1018,0.0,0,1018.0,5,UPI,CONFIRMED,Hyderabad,388209,2026-08-22 19:44:00.384194,2026-08-22
TL-ORD-7403CD1117,,sess_8dfd1b842ee24b91,3621,543.15,0,3077.85,3,COD,CONFIRMED,Delhi NCR,674765,2026-08-23 02:11:32.287132,2026-08-23
TL-ORD-4846D80A06,11613.0,sess_4ec94e2caf8847a8,1774,0.0,0,1774.0,2,Card,CONFIRMED,Pune,143803,2026-08-17 16:04:55.319370,2026-08-17
TL-ORD-A09ECFBBA9,8774.0,sess_bd5a94103cfd44c6,1928,0.0,0,1928.0,2,COD,CONFIRMED,Delhi NCR,371204,2026-08-19 06:39:43.509181,2026-08-19
TL-ORD-16B359CD4E,,sess_79a0c8c8c6384280,4481,0.0,0,4481.0,5,COD,CONFIRMED,Pune,358167,2026-08-17 19:11:18.246499,2026-08-17
TL-ORD-1942884645,8204.0,sess_54c64dbec1f44857,5842,0.0,0,5842.0,2,Card,CONFIRMED,Delhi NCR,694136,2026-08-28 07:57:35.861235,2026-08-28
TL-ORD-D6E2AA6431,,sess_f9bddb314c3e4de8,2769,0.0,0,2769.0,2,UPI,CONFIRMED,Hyderabad,463250,2026-08-21 16:52:40.225692,2026-08-21
TL-ORD-21791ABD37,10808.0,sess_de24c49f89704b86,4617,692.55,0,3924.45,2,Card,CONFIRMED,Hyderabad,560734,2026-09-04 10:34:06.827871,2026-09-04
TL-ORD-F0F292C02C,9943.0,sess_406788046f164e24,956,0.0,99,1055.0,4,COD,CONFIRMED,Bengaluru,360010,2026-09-11 14:33:49.235436,2026-09-11
TL-ORD-B3535D4F38,10904.0,sess_ff0ce9e528444f21,3471,0.0,0,3471.0,3,Card,CONFIRMED,Mumbai,473904,2026-09-04 17:57:08.485156,2026-09-04
TL-ORD-8FEA2BC046,,sess_74d8cf035e3e4f8e,2195,0.0,0,2195.0,4,UPI,CONFIRMED,Hyderabad,289999,2026-08-22 07:56:26.728028,2026-08-22
TL-ORD-8103AEA240,,sess_11afe4bbfdc54210,5184,0.0,0,5184.0,6,Card,CONFIRMED,Pune,124221,2026-08-17 02:18:38.561557,2026-08-17
TL-ORD-C8F30128DB,7416.0,sess_b5acdbca85384e31,3389,0.0,0,3389.0,2,COD,CONFIRMED,Pune,565621,2026-09-12 01:14:24.580959,2026-09-12
TL-ORD-8E4DF558C3,,sess_f8e341c7969c47b8,2499,0.0,0,2499.0,3,Card,CONFIRMED,Delhi NCR,686397,2026-08-29 14:04:29.288185,2026-08-29
TL-ORD-BCA150740F,8251.0,sess_cea94e28be3745c9,4284,0.0,0,4284.0,2,NetBanking,CONFIRMED,Bengaluru,395397,2026-09-01 09:21:00.987454,2026-09-01
TL-ORD-CE230F5B74,6854.0,sess_f54741549c6d4fca,1061,0.0,0,1061.0,3,COD,CONFIRMED,Bengaluru,243919,2026-09-08 06:05:44.442521,2026-09-08
TL-ORD-3673C22CE4,8461.0,sess_59ade004ba74415c,2686,402.9,0,2283.1,4,Card,CONFIRMED,Delhi NCR,504175,2026-09-05 17:39:59.840591,2026-09-05
TL-ORD-1CA858958E,11962.0,sess_83360b6f53c04ecc,5450,817.5,0,4632.5,3,COD,CONFIRMED,Bengaluru,120057,2026-08-25 04:22:12.895563,2026-08-25
TL-ORD-922E419232,7755.0,sess_0f064b3c54de4fa0,3559,0.0,0,3559.0,2,NetBanking,CONFIRMED,Hyderabad,369637,2026-09-09 05:43:50.552895,2026-09-09
TL-ORD-4E444D86CC,6952.0,sess_6d3f3827a62041d7,1276,0.0,0,1276.0,5,COD,CONFIRMED,Chennai,145369,2026-08-24 02:32:48.733625,2026-08-24
TL-ORD-C131CE6E08,7645.0,sess_1950c645f391490f,2717,0.0,0,2717.0,3,COD,CONFIRMED,Bengaluru,205068,2026-08-19 06:41:13.114533,2026-08-19
TL-ORD-EE2C0360A4,6015.0,sess_d6b922924ce441a7,4320,0.0,0,4320.0,4,COD,CONFIRMED,Chennai,475681,2026-09-11 02:46:18.957414,2026-09-11
TL-ORD-D55454170A,8454.0,sess_a8b44555ed6a4fac,1044,0.0,0,1044.0,3,UPI,CONFIRMED,Hyderabad,222387,2026-08-22 10:18:34.067927,2026-08-22
TL-ORD-DD680D066D,,sess_664b0ae67a9847a9,2334,0.0,0,2334.0,5,NetBanking,CONFIRMED,Pune,416225,2026-09-05 08:12:31.576457,2026-09-05
TL-ORD-839E5DB572,,sess_39e977f722c14fa7,5322,798.3,0,4523.7,4,Card,CONFIRMED,Pune,638916,2026-08-31 06:05:22.639909,2026-08-31
TL-ORD-2299052707,9772.0,sess_fd469f5a4a3b4c12,1875,0.0,0,1875.0,4,NetBanking,CONFIRMED,Chennai,195163,2026-09-05 09:57:35.391639,2026-09-05
TL-ORD-BD0E3F7319,,sess_7d52a32f13784eed,4299,0.0,0,4299.0,2,COD,CONFIRMED,Pune,126226,2026-09-05 10:58:21.446889,2026-09-05
TL-ORD-309BF8C7FF,,sess_7a150d8555924847,2195,329.25,0,1865.75,4,Card,CONFIRMED,Delhi NCR,509162,2026-08-15 19:35:18.824636,2026-08-15
TL-ORD-02BD06CEC2,6859.0,sess_8cb87bba91f54011,2640,0.0,0,2640.0,3,NetBanking,CONFIRMED,Chennai,169233,2026-08-22 10:11:39.360164,2026-08-22
TL-ORD-C55CCE9874,10894.0,sess_de70ce39a19a4874,3090,463.5,0,2626.5,2,NetBanking,CONFIRMED,Chennai,293129,2026-09-04 02:57:18.808332,2026-09-04
TL-ORD-78127B5099,6468.0,sess_cbe3878d76f742ef,4645,0.0,0,4645.0,2,NetBanking,CONFIRMED,Delhi NCR,305442,2026-09-10 00:38:17.121155,2026-09-10
TL-ORD-A669ACD9CD,7064.0,sess_99b2eb618a3e4f5a,956,0.0,99,1055.0,4,NetBanking,CONFIRMED,Mumbai,309827,2026-09-04 20:40:59.320129,2026-09-04
TL-ORD-D4C7C9A7F0,6164.0,sess_1d2672b85e624d24,4299,644.85,0,3654.15,2,COD,CONFIRMED,Delhi NCR,646418,2026-08-22 03:41:00.539605,2026-08-22
TL-ORD-C5A96974FA,,sess_a8eaf1e8f27b43b1,2673,400.95,0,2272.05,2,NetBanking,CONFIRMED,Bengaluru,281617,2026-09-12 00:12:29.843722,2026-09-12
TL-ORD-BAAC2EA1A1,7820.0,sess_fb9edb13efbd4ac5,1018,152.7,0,865.3,5,COD,CONFIRMED,Delhi NCR,326367,2026-09-13 15:09:46.286860,2026-09-13
TL-ORD-F9A27BF24A,7855.0,sess_9467a228d3d440eb,2773,0.0,0,2773.0,2,NetBanking,CONFIRMED,Hyderabad,168033,2026-09-08 01:47:07.344178,2026-09-08
TL-ORD-F569B96A17,8630.0,sess_604fb5de789f46e9,6999,1049.85,0,5949.15,2,Card,CONFIRMED,Pune,147448,2026-08-26 23:36:39.849247,2026-08-26
TL-ORD-42E59F64F9,6166.0,sess_dfa7c4a1b95449ce,3177,476.55,0,2700.45,3,NetBanking,CONFIRMED,Delhi NCR,114660,2026-08-28 10:57:59.450220,2026-08-28
TL-ORD-3E12A25912,,sess_6f68a12ec33547af,3174,0.0,0,3174.0,5,UPI,CONFIRMED,Delhi NCR,472543,2026-09-06 19:58:22.280522,2026-09-06
TL-ORD-D8F2CECC9E,8009.0,sess_4af36dd0cd91407c,550,0.0,99,649.0,5,COD,CONFIRMED,Pune,189383,2026-08-27 10:00:37.277250,2026-08-27
TL-ORD-585112B41D,11689.0,sess_6fdbd9950c444186,1829,0.0,0,1829.0,2,Card,CONFIRMED,Delhi NCR,642441,2026-08-31 13:15:22.851137,2026-08-31
TL-ORD-3F567E1179,11109.0,sess_f3b114c0c25d4d7e,1251,187.65,0,1063.35,3,COD,CONFIRMED,Bengaluru,390691,2026-08-25 06:12:23.580140,2026-08-25
TL-ORD-148D632F09,,sess_b50c639ee50c4416,4645,0.0,0,4645.0,2,COD,CONFIRMED,Pune,303749,2026-08-15 18:20:27.891479,2026-08-15
TL-ORD-1975D0F8B9,8539.0,sess_3f35976cbe704787,1103,0.0,0,1103.0,2,Card,CONFIRMED,Bengaluru,459062,2026-08-28 03:43:15.260361,2026-08-28
TL-ORD-7BE6A46DF1,9186.0,sess_864c44b0d9ef41fd,1533,0.0,0,1533.0,2,COD,CONFIRMED,Bengaluru,537789,2026-08-30 02:35:47.899646,2026-08-30
TL-ORD-C8BA3743E3,6101.0,sess_5c5997caa4144536,743,111.45,99,730.55,3,COD,CONFIRMED,Hyderabad,650186,2026-08-18 08:39:09.357138,2026-08-18
TL-ORD-93FEB853C8,10485.0,sess_950d38be5f9a409c,4958,743.7,0,4214.3,3,NetBanking,CONFIRMED,Bengaluru,690731,2026-08-28 04:25:19.748342,2026-08-28
TL-ORD-4164D528B5,7932.0,sess_1e6f75e8291740a5,999,0.0,0,999.0,2,COD,CONFIRMED,Delhi NCR,470249,2026-08-25 11:12:49.881856,2026-08-25
TL-ORD-B99BD845F7,9044.0,sess_c1740f9060d3444b,4320,0.0,0,4320.0,4,COD,CONFIRMED,Delhi NCR,257144,2026-09-12 10:41:47.998167,2026-09-12
TL-ORD-65FCDF3B60,,sess_f3cac17fa87e4e6e,6489,0.0,0,6489.0,2,NetBanking,CONFIRMED,Bengaluru,494300,2026-08-27 21:44:53.166127,2026-08-27
TL-ORD-0ADB43DCEB,11060.0,sess_146b6662949a4980,3246,0.0,0,3246.0,6,Card,CONFIRMED,Pune,120198,2026-09-09 08:23:54.624307,2026-09-09
TL-ORD-277B194211,7128.0,sess_c44438dd8782407d,1089,163.35,0,925.65,3,Card,CONFIRMED,Mumbai,597629,2026-08-30 12:55:39.856944,2026-08-30
TL-ORD-F94FA63392,,sess_4df154215ed5498f,4284,642.6,0,3641.4,2,NetBanking,CONFIRMED,Delhi NCR,134937,2026-08-21 07:59:09.600660,2026-08-21
TL-ORD-9B59644E44,8566.0,sess_46c3351a9b274df4,1847,0.0,0,1847.0,3,NetBanking,CONFIRMED,Pune,630346,2026-08-19 18:09:49.549180,2026-08-19
TL-ORD-44F9CFFCBF,,sess_8a9b79b567f640c1,3748,0.0,0,3748.0,2,NetBanking,CONFIRMED,Pune,280372,2026-08-23 03:33:02.419924,2026-08-23
TL-ORD-0AE63AB28A,7140.0,sess_5b69fad1bbb44c8d,3938,0.0,0,3938.0,3,Card,CONFIRMED,Hyderabad,569750,2026-08-23 02:50:46.532377,2026-08-23
TL-ORD-5360465D11,9506.0,sess_2db3c3532453412d,3985,597.75,0,3387.25,3,UPI,CONFIRMED,Mumbai,255793,2026-08-28 02:05:40.359173,2026-08-28
TL-ORD-313C1306F8,8560.0,sess_ec4ac065282748d3,3531,529.65,0,3001.35,3,NetBanking,CONFIRMED,Chennai,394855,2026-08-27 11:21:00.835170,2026-08-27
TL-ORD-3B8F391235,8658.0,sess_221eb1486d444327,1684,0.0,0,1684.0,2,UPI,CONFIRMED,Mumbai,318237,2026-08-24 19:45:52.747141,2026-08-24
TL-ORD-4ED29E4E47,,sess_d7592049d9c94b9d,6594,989.1,0,5604.9,3,COD,CONFIRMED,Hyderabad,595711,2026-09-04 23:45:20.236812,2026-09-04
TL-ORD-62F6099977,,sess_e6dba37f5432430b,2589,388.35,0,2200.65,2,COD,CONFIRMED,Mumbai,327507,2026-08-27 09:25:30.907233,2026-08-27
TL-ORD-FD90737170,7762.0,sess_f2ec0e3f80224356,1103,0.0,0,1103.0,5,COD,CONFIRMED,Bengaluru,255488,2026-09-06 12:18:03.728609,2026-09-06
TL-ORD-F16ADDE948,11200.0,sess_898a24dbd2e94a9c,1899,284.85,0,1614.15,4,UPI,CONFIRMED,Mumbai,182849,2026-09-02 05:34:58.650445,2026-09-02
TL-ORD-75C833DEFE,7900.0,sess_0d7cb5588a16484e,4499,0.0,0,4499.0,2,NetBanking,CONFIRMED,Hyderabad,197863,2026-08-22 04:36:15.783517,2026-08-22
