session_id,user_id,device_type,experiment_variant,session_start_time,session_date
sess_2461d1292ce74799,7114.0,mobile,treatment_ai_search,2026-09-10 12:20:56.570183,2026-09-10
sess_893b69c2d22e4dcc,6721.0,mobile,control_keyword,2026-08-15 22:33:43.780828,2026-08-15
sess_04c8198a6ea549f7,8996.0,mobile,treatment_ai_search,2026-08-25 05:23:26.804680,2026-08-25
sess_4f80a7c01eb54341,,mobile,control_keyword,2026-08-27 01:58:14.740922,2026-08-27
sess_b57aa58c262840d4,6074.0,mobile,treatment_ai_search,2026-08-27 13:36:18.716316,2026-08-27
sess_73c7e82770a24b88,9103.0,desktop,control_keyword,2026-08-27 01:47:48.287913,2026-08-27
sess_afa29b5d7ace4c70,8896.0,mobile,treatment_ai_search,2026-08-17 06:32:22.069632,2026-08-17
sess_c5431ed4a7b348e8,6310.0,mobile,control_keyword,2026-09-05 01:47:41.320299,2026-09-05
sess_1177be8793e44e54,7340.0,mobile,treatment_ai_search,2026-08-27 22:58:13.308011,2026-08-27
sess_f0a74c7b465845d1,,mobile,control_keyword,2026-08-20 00:47:07.126840,2026-08-20
sess_53bf4e27d8b34ed0,10360.0,mobile,treatment_ai_search,2026-08-21 15:02:41.272003,2026-08-21
sess_97cbbe8c7a784072,7747.0,mobile,control_keyword,2026-09-07 13:52:11.152763,2026-09-07
sess_cb534746f60f4190,,mobile,treatment_ai_search,2026-09-09 18:48:49.244603,2026-09-09
sess_9156abc4ba5641a8,8001.0,mobile,control_keyword,2026-09-01 14:06:40.535196,2026-09-01
sess_c5f9f2a9da5c49b6,7217.0,desktop,treatment_ai_search,2026-08-26 10:23:14.310515,2026-08-26
sess_618534a65e884e35,7581.0,desktop,control_keyword,2026-08-23 05:46:40.889870,2026-08-23
sess_61d13c8e6c0a4bcf,,desktop,treatment_ai_search,2026-08-26 08:30:10.710449,2026-08-26
sess_96747778397d4e4d,11876.0,mobile,control_keyword,2026-08-18 14:06:10.976216,2026-08-18
sess_f9cc5ef2d14c4609,8138.0,mobile,treatment_ai_search,2026-08-24 22:42:57.500750,2026-08-24
sess_919f556b82034b5e,,mobile,control_keyword,2026-08-16 20:14:34.823894,2026-08-16
sess_867edb2fef6c4852,,desktop,treatment_ai_search,2026-08-24 06:33:41.073675,2026-08-24
sess_f5f8990590d64faa,8117.0,mobile,control_keyword,2026-08-15 14:36:58.439384,2026-08-15
sess_02ddd914a9b44d08,,mobile,treatment_ai_search,2026-09-08 21:14:13.424691,2026-09-08
sess_4b8f6d2d69b34e08,,mobile,control_keyword,2026-08-24 07:18:28.539321,2026-08-24
sess_a29617131f004aca,6806.0,tablet,treatment_ai_search,2026-08-20 07:06:30.699601,2026-08-20
sess_3def5bee89af4ca8,11192.0,mobile,control_keyword,2026-08-24 17:02:10.743833,2026-08-24
sess_8a110cc459034cbb,9196.0,mobile,treatment_ai_search,2026-09-13 07:15:31.956660,2026-09-13
sess_3d55a8b9f1f345d8,9873.0,mobile,control_keyword,2026-09-10 18:06:51.010145,2026-09-10
sess_5516765396de43e3,8734.0,mobile,treatment_ai_search,2026-08-29 02:18:05.425391,2026-08-29
sess_1cc784cd200d48c6,,desktop,control_keyword,2026-08-18 08:57:24.396120,2026-08-18
sess_4561b0746f604e03,,desktop,treatment_ai_search,2026-08-17 13:52:43.551449,2026-08-17
sess_35c9289400b04a45,,desktop,control_keyword,2026-08-22 13:11:16.951092,2026-08-22
sess_1476932e123544eb,10879.0,desktop,treatment_ai_search,2026-08-27 19:46:26.645194,2026-08-27
sess_77985356b8de4bed,,mobile,control_keyword,2026-08-28 06:25:51.094599,2026-08-28
sess_1b1e9886979a485f,,desktop,treatment_ai_search,2026-09-03 13:40:41.940400,2026-09-03
sess_f5a4c9064e434f45,7324.0,desktop,control_keyword,2026-08-20 04:29:43.466445,2026-08-20
sess_6851bf3ea6a74c45,6260.0,mobile,treatment_ai_search,2026-09-11 16:30:37.255658,2026-09-11
sess_ba6076948065416e,7110.0,mobile,control_keyword,2026-08-17 06:28:06.837880,2026-08-17
sess_db759c9aa0094032,11832.0,mobile,treatment_ai_search,2026-08-20 01:36:53.006056,2026-08-20
sess_9011910197234c50,9070.0,desktop,control_keyword,2026-08-15 11:36:39.162116,2026-08-15
sess_0569066e4c1b47e1,11455.0,mobile,treatment_ai_search,2026-08-19 23:56:13.704351,2026-08-19
sess_f87693a0d71d4a81,,desktop,control_keyword,2026-09-13 02:07:28.413949,2026-09-13
sess_a12f27c0fac74894,11452.0,desktop,treatment_ai_search,2026-08-31 20:47:49.344443,2026-08-31
sess_0f2b2034b6e94aee,,desktop,control_keyword,2026-09-05 14:45:04.572968,2026-09-05
sess_a3b167859f86417b,8161.0,mobile,treatment_ai_search,2026-09-05 05:13:41.009494,2026-09-05
sess_da38737c749d4508,10460.0,mobile,control_keyword,2026-08-18 18:22:17.510489,2026-08-18
sess_52ba1f60123e4f3e,9295.0,desktop,treatment_ai_search,2026-09-05 00:34:53.897603,2026-09-05
sess_310c3d040c8c4456,6320.0,mobile,control_keyword,2026-09-11 16:37:14.152159,2026-09-11
sess_83393142a0cc49db,9844.0,desktop,treatment_ai_search,2026-09-08 15:35:43.883484,2026-09-08
sess_edb81f2030f34ec2,8779.0,mobile,control_keyword,2026-08-30 02:12:43.642143,2026-08-30
sess_fc28d90318d641ad,7475.0,mobile,treatment_ai_search,2026-08-19 15:13:32.611094,2026-08-19
sess_92473ced4aa541a7,,mobile,control_keyword,2026-09-12 12:03:19.025000,2026-09-12
sess_530642652506467d,7908.0,mobile,treatment_ai_search,2026-08-24 16:24:40.516637,2026-08-24
sess_0cfda8c173c24b50,,desktop,control_keyword,2026-09-06 13:11:21.894246,2026-09-06
sess_4087d93e91a8491c,8709.0,desktop,treatment_ai_search,2026-08-24 17:51:54.857513,2026-08-24
sess_a2d3fb5d566e44e4,8057.0,desktop,control_keyword,2026-09-09 14:45:18.165418,2026-09-09
sess_ab7d7c6f2f304a1d,10092.0,mobile,treatment_ai_search,2026-09-04 10:58:04.993127,2026-09-04
sess_61bf793a311640bc,10252.0,mobile,control_keyword,2026-08-31 12:03:35.261817,2026-08-31
sess_af66c91617654115,8610.0,mobile,treatment_ai_search,2026-09-05 12:01:17.938927,2026-09-05
sess_605475a031564455,11893.0,desktop,control_keyword,2026-08-22 04:04:45.512824,2026-08-22
sess_91a743d3c5074102,9787.0,desktop,treatment_ai_search,2026-08-16 02:17:02.624018,2026-08-16
sess_de130c09500a43ce,7657.0,mobile,control_keyword,2026-08-19 02:26:12.676960,2026-08-19
sess_5ea9b48aabc740f0,6089.0,tablet,treatment_ai_search,2026-09-07 20:15:55.528840,2026-09-07
sess_5fb4fd7ea7b7457f,,mobile,control_keyword,2026-08-27 04:53:10.829223,2026-08-27
sess_fe411fa9a43f4003,,mobile,treatment_ai_search,2026-09-02 21:26:13.674176,2026-09-02
sess_02f7977d52954f88,8918.0,tablet,control_keyword,2026-09-06 07:49:48.932502,2026-09-06
sess_a49e2b64fbe547c2,6717.0,desktop,treatment_ai_search,2026-09-12 10:28:55.281124,2026-09-12
sess_56552bf01cee4ff5,,desktop,control_keyword,2026-08-19 09:14:25.653817,2026-08-19
sess_356aa80943454f3f,,desktop,treatment_ai_search,2026-08-18 11:28:47.321022,2026-08-18
sess_5f0bb47d35d34cf9,,desktop,control_keyword,2026-08-17 18:03:19.178087,2026-08-17
sess_415b05ef030c4a63,7162.0,mobile,treatment_ai_search,2026-08-23 08:37:06.155543,2026-08-23
sess_7a60f6ffe762488a,11792.0,mobile,control_keyword,2026-09-10 00:16:54.771225,2026-09-10
sess_63f05f4841814b38,10230.0,mobile,treatment_ai_search,2026-09-05 10:11:55.094618,2026-09-05
sess_70aca5a2b46b414a,11494.0,desktop,control_keyword,2026-09-13 02:15:44.030018,2026-09-13
sess_b8540576269f438f,6595.0,mobile,treatment_ai_search,2026-09-07 21:20:50.734267,2026-09-07
sess_ada6f98218fc451c,10911.0,mobile,control_keyword,2026-08-15 13:36:14.915032,2026-08-15
sess_628dacff4b1d4937,10367.0,mobile,treatment_ai_search,2026-08-20 02:45:56.264102,2026-08-20
sess_70dbf99722a24c16,,mobile,control_keyword,2026-09-06 15:06:46.119714,2026-09-06
sess_9ac3a3ce19824431,11991.0,mobile,treatment_ai_search,2026-08-16 07:48:26.584237,2026-08-16
sess_9cff30eb1c104f73,,mobile,control_keyword,2026-08-17 03:14:17.661523,2026-08-17
sess_c5229ce672a54538,,desktop,treatment_ai_search,2026-08-17 10:37:02.147884,2026-08-17
sess_2344518c573f480e,7876.0,desktop,control_keyword,2026-09-12 20:20:39.761903,2026-09-12
sess_fe2c6fcbcdf14c41,11839.0,mobile,treatment_ai_search,2026-08-25 23:25:41.275953,2026-08-25
sess_b6857d31861e447d,8638.0,mobile,control_keyword,2026-09-10 12:22:18.571527,2026-09-10
sess_5bd1e09b3e744b9d,10444.0,mobile,treatment_ai_search,2026-08-30 22:18:31.002520,2026-08-30
sess_0e99c01b8e3042bf,8663.0,desktop,control_keyword,2026-08-18 15:06:14.191215,2026-08-18
sess_2e09cfe5559b469c,11710.0,desktop,treatment_ai_search,2026-08-27 04:51:44.966872,2026-08-27
sess_515321cf571e4c18,,mobile,control_keyword,2026-08-15 07:21:22.832142,2026-08-15
sess_fef5356d2dfa4b20,,tablet,treatment_ai_search,2026-09-10 17:48:38.082447,2026-09-10
sess_372de2467dac4f8b,,mobile,control_keyword,2026-08-26 14:21:35.132163,2026-08-26
sess_e1b8cdf36bd24904,10038.0,desktop,treatment_ai_search,2026-08-25 04:51:15.761681,2026-08-25
sess_691ee9e2f1424b1d,8688.0,mobile,control_keyword,2026-08-26 05:19:32.262739,2026-08-26
sess_88569ccd703c4556,8695.0,mobile,treatment_ai_search,2026-08-26 13:24:12.760343,2026-08-26
sess_b71df2b3e11d4867,,mobile,control_keyword,2026-08-22 23:07:46.005799,2026-08-22
sess_e049e9125cb84f8f,7569.0,mobile,treatment_ai_search,2026-09-11 05:26:00.555919,2026-09-11
sess_c0c31374b6c34b5a,9522.0,mobile,control_keyword,2026-09-05 21:18:18.785711,2026-09-05
sess_ee50a275b33c4a0f,,mobile,treatment_ai_search,2026-08-19 13:02:28.328868,2026-08-19
sess_f03615b238f94add,11207.0,tablet,control_keyword,2026-08-31 11:21:20.297644,2026-08-31
sess_0eb6b03d34454aa5,,desktop,treatment_ai_search,2026-08-15 09:23:17.042997,2026-08-15
sess_c7c8995bd659496d,,tablet,control_keyword,2026-08-19 16:41:46.286414,2026-08-19
sess_b79195e5b1c74795,6104.0,desktop,treatment_ai_search,2026-09-13 09:13:26.948307,2026-09-13
sess_67b47483b0544914,11769.0,desktop,control_keyword,2026-08-17 14:41:09.698262,2026-08-17
sess_af49751d8cc74416,,desktop,treatment_ai_search,2026-08-19 04:16:22.377423,2026-08-19
sess_2a8f7ea68f8f4e19,,mobile,control_keyword,2026-08-31 09:12:48.387807,2026-08-31
sess_8fbb4685aa18490e,8758.0,mobile,treatment_ai_search,2026-09-07 01:00:07.026508,2026-09-07
sess_975e2ac92b3a477b,11376.0,mobile,control_keyword,2026-09-04 06:06:33.744782,2026-09-04
sess_2e47b261c8fe426b,6642.0,desktop,treatment_ai_search,2026-09-04 09:11:38.862618,2026-09-04
sess_0cc91367b9184dfa,10045.0,tablet,control_keyword,2026-08-25 13:08:58.409243,2026-08-25
sess_f1d38c251a3a404b,7643.0,mobile,treatment_ai_search,2026-09-02 08:30:39.690771,2026-09-02
sess_02785a7b02f34d70,9203.0,mobile,control_keyword,2026-08-23 17:04:56.369981,2026-08-23
sess_52987acfa5a1423f,10422.0,tablet,treatment_ai_search,2026-08-27 10:59:18.030145,2026-08-27
sess_4c0dc87d960148e2,,mobile,control_keyword,2026-09-07 18:56:30.711767,2026-09-07
sess_70879103c2704014,11892.0,mobile,treatment_ai_search,2026-09-03 03:49:53.533911,2026-09-03
sess_0cbc97043ae447be,6199.0,mobile,control_keyword,2026-09-05 10:17:18.276772,2026-09-05
sess_be5b690e18794514,,mobile,treatment_ai_search,2026-09-05 22:12:47.502895,2026-09-05
sess_ab99ff20662b4c8a,7791.0,desktop,control_keyword,2026-09-01 07:54:43.084878,2026-09-01
sess_47c2172195b24ee2,7047.0,mobile,treatment_ai_search,2026-09-01 00:25:07.710322,2026-09-01
sess_510bc491face4711,7759.0,desktop,control_keyword,2026-09-04 01:19:04.424005,2026-09-04
sess_c0c9fbfa7db245d5,10450.0,desktop,treatment_ai_search,2026-08-15 13:48:16.145469,2026-08-15
sess_a2eeb193400f4cd8,9536.0,mobile,control_keyword,2026-08-26 06:13:11.764330,2026-08-26
sess_9f9cfd4bd7234428,8246.0,desktop,treatment_ai_search,2026-08-29 01:42:50.608455,2026-08-29
sess_99c5170bec624ddc,6059.0,mobile,control_keyword,2026-09-06 07:08:28.148407,2026-09-06
sess_beddae6201e646d2,11472.0,mobile,treatment_ai_search,2026-09-10 13:53:55.668344,2026-09-10
sess_bd94800ca86a4f9b,8204.0,mobile,control_keyword,2026-08-31 01:17:01.139934,2026-08-31
sess_8b11c3b39ff9483d,11212.0,mobile,treatment_ai_search,2026-08-30 23:30:46.455763,2026-08-30
sess_247e64fc3406415b,10502.0,mobile,control_keyword,2026-08-28 03:21:38.897711,2026-08-28
sess_159045c838744919,8786.0,desktop,treatment_ai_search,2026-08-15 16:24:36.181428,2026-08-15
sess_46a6edceb89047f0,,mobile,control_keyword,2026-09-05 01:29:09.153928,2026-09-05
sess_814995bde99a4961,,tablet,treatment_ai_search,2026-09-10 03:15:35.034479,2026-09-10
sess_4fec59ef29f04726,,mobile,control_keyword,2026-08-28 02:42:00.115915,2026-08-28
sess_6122689f54cb4a27,,mobile,treatment_ai_search,2026-08-26 18:12:17.962594,2026-08-26
sess_96f0915316984d9b,9695.0,mobile,control_keyword,2026-09-05 10:36:51.713639,2026-09-05
sess_3d8b366e76d94112,8036.0,desktop,treatment_ai_search,2026-08-28 05:25:14.531220,2026-08-28
sess_eaa8a77efd2241a3,,mobile,control_keyword,2026-09-01 19:00:25.079515,2026-09-01
sess_301eb87342e049e4,,desktop,treatment_ai_search,2026-08-15 14:05:21.412613,2026-08-15
sess_9013f24265ec45a0,,mobile,control_keyword,2026-09-01 18:52:30.428318,2026-09-01
sess_f31c74b639114097,11056.0,mobile,treatment_ai_search,2026-09-11 06:51:54.865905,2026-09-11
sess_34d5dd64c8f74673,,desktop,control_keyword,2026-09-09 03:50:33.876107,2026-09-09
sess_3463010b021a4482,11918.0,mobile,treatment_ai_search,2026-08-27 07:50:13.395419,2026-08-27
sess_03d4fabb47b64302,6026.0,desktop,control_keyword,2026-09-12 04:05:14.972721,2026-09-12
sess_ed6ccb0b87fd4058,11749.0,mobile,treatment_ai_search,2026-08-26 07:54:54.967353,2026-08-26
sess_976ac2ddad7341fd,7258.0,mobile,control_keyword,2026-09-01 17:32:47.584681,2026-09-01
sess_a5ae9d5fa9034595,6672.0,mobile,treatment_ai_search,2026-09-12 02:03:28.608309,2026-09-12
sess_d84d2d24c8894d61,7099.0,desktop,control_keyword,2026-08-27 13:05:49.632827,2026-08-27
sess_be50cf1532e6455d,7076.0,mobile,treatment_ai_search,2026-08-16 12:53:02.363913,2026-08-16
sess_cb85a43d82664a6d,7374.0,mobile,control_keyword,2026-09-09 22:07:47.002651,2026-09-09
sess_56b0b45f08a34165,8361.0,mobile,treatment_ai_search,2026-08-21 11:14:32.665924,2026-08-21
sess_966344ab635543ad,,mobile,control_keyword,2026-08-31 19:05:28.721642,2026-08-31
sess_b018c5a2f68746b2,6939.0,mobile,treatment_ai_search,2026-08-23 14:17:10.381231,2026-08-23
sess_ae9abb732d8842b1,11536.0,desktop,control_keyword,2026-09-03 23:50:31.632104,2026-09-03
sess_d7b4c3bfb33248b0,,mobile,treatment_ai_search,2026-08-30 15:55:46.472238,2026-08-30
